Location,Price,Price per m2,Size M2,Rooms
"Warszawa, Praga-Północ",396 000 zł,13 655 zł/m²,29 m²,2 pokoje
"Warszawa, Bemowo, ul. Secemińska",695 000 zł,11 564 zł/m²,60.1 m²,3 pokoje
"Warszawa, Wilanów",828 000 zł,15 055 zł/m²,55 m²,2 pokoje
"Warszawa, Białołęka",730 000 zł,13 225 zł/m²,55.2 m²,3 pokoje
"Warszawa, Śródmieście, ul. Marszałkowska 111a",750 000 zł,19 330 zł/m²,38.8 m²,2 pokoje
"Warszawa, Śródmieście, Nowy Świat",1 500 000 zł,17 964 zł/m²,83.5 m²,3 pokoje
"Warszawa, Ursynów, Imielin, Polinezyjska",700 000 zł,10 160 zł/m²,68.9 m²,4 pokoje
"Warszawa, Mokotów, Sielce",980 000 zł,16 554 zł/m²,59.2 m²,3 pokoje
"Warszawa, Mokotów, Dolny Mokotów",1 899 500 zł,12 099 zł/m²,157 m²,4 pokoje
"Warszawa, Mokotów",600 000 zł,12 747 zł/m²,47.07 m²,3 pokoje
"Warszawa, Bielany, ul. Klaudyny",810 000 zł,10 800 zł/m²,75 m²,6 pokoi
"Warszawa, Bemowo, Chrzanów, ul. Szeligowska",485 000 zł,15 156 zł/m²,32 m²,1 pokój
"Warszawa, Praga-Północ, Namyslowska, 6c",849 000 zł,16 107 zł/m²,52.71 m²,2 pokoje
"Warszawa, Ursynów, Jana Żabińskiego 16",455 000 zł,11 974 zł/m²,38 m²,2 pokoje
"Warszawa, Ursynów, Hawajska",497 000 zł,11 833 zł/m²,42 m²,2 pokoje
"Warszawa, Praga-Północ",780 000 zł,17 727 zł/m²,44 m²,2 pokoje
"Warszawa, Wola, ul. Okopowa 56",1 197 700 zł,16 520 zł/m²,72.5 m²,4 pokoje
"Warszawa, Ursus",550 000 zł,9707 zł/m²,56.66 m²,3 pokoje
"Warszawa, Śródmieście",490 000 zł,15 313 zł/m²,32 m²,2 pokoje
"Warszawa, Mokotów, ul. Jana Pawła Woronicza",1 849 000 zł,18 204 zł/m²,101.57 m²,3 pokoje
"Warszawa, Praga-Północ, ul. Szwedzka",999 700 zł,15 380 zł/m²,65 m²,3 pokoje
"Warszawa, Wola, ul. Pańska",550 000 zł,14 785 zł/m²,37.2 m²,2 pokoje
"Warszawa, Praga-Północ, 11 listopada",1 450 000 zł,14 286 zł/m²,101.5 m²,3 pokoje
"Warszawa, Śródmieście, Śródmieście Południowe",639 000 zł,16 816 zł/m²,38 m²,2 pokoje
